model,accuracy,precision_delayed,recall_delayed,specificity,f1_delayed,roc_auc
baseline_majority,0.5258753578506937,0.0,0.0,1.0,0.0,0.5
logistic_regression,0.6363135873155693,0.6126460017969452,0.6334184858337204,0.6389237855946399,0.622859100251199,0.6880539325264656
knn,0.6389011231006386,0.6195133310047736,0.6178588016720855,0.6578726968174204,0.6186849601767339,0.6956551376735823
decision_tree,0.6352675622109667,0.5935410978250636,0.7320018578727358,0.5480527638190955,0.6555399573649456,0.6829335622317346
random_forest,0.6378550979960361,0.6052359271523179,0.6791686019507663,0.600607202680067,0.6400744145327205,0.6899398559409526
xgboost,0.6476547016075754,0.6196710668686432,0.6650023223409196,0.6320142378559463,0.6415369104962474,0.7096460443182004
