weekend_status,n_rows,actual_delay_rate,predicted_delay_rate,error_rate,false_positive_count,false_negative_count,false_positive_rate_on_ontime,false_negative_rate_on_delays,mean_predicted_delay_probability
Weekday,13569,0.49546760999336725,0.5672488761146731,0.35492667108851056,2895,1921,0.422874671340929,0.2857355347315187,0.4937071204185486
Weekend,4595,0.4110990206746464,0.33623503808487487,0.34472252448313384,620,964,0.22912047302291205,0.5103229221810481,0.4202718436717987
