rain_condition,n_rows,actual_delay_rate,predicted_delay_rate,error_rate,false_positive_count,false_negative_count,false_positive_rate_on_ontime,false_negative_rate_on_delays,mean_predicted_delay_probability
Dry,14277,0.4557680184912797,0.4669048119352805,0.3557470056734608,2619,2460,0.3370656370656371,0.3780544029506685,0.4577370882034302
Rainy,3887,0.5415487522510933,0.6627218934911243,0.33985078466683816,896,425,0.5028058361391695,0.20190023752969122,0.5390142798423767
