arrival_period,n_rows,actual_delay_rate,predicted_delay_rate,error_rate,false_positive_count,false_negative_count,false_positive_rate_on_ontime,false_negative_rate_on_delays,mean_predicted_delay_probability
AM rush (06-09),3867,0.5202999741401604,0.6058960434445306,0.34729764675459013,837,506,0.45121293800539086,0.2514910536779324,0.5165745615959167
Midday (10-15),5848,0.40834473324213405,0.35721614227086185,0.3585841313269494,899,1198,0.25982658959537575,0.501675041876047,0.4163583219051361
PM rush (16-19),3996,0.4804804804804805,0.5402902902902903,0.3616116116116116,842,603,0.4055876685934489,0.3140625,0.4741673171520233
Evening (20-23),3241,0.4720765195927183,0.5229867324899722,0.3539031163221228,656,491,0.38340151957919344,0.3209150326797386,0.48151931166648865
Night/early (00-05),1212,0.6287128712871287,0.7887788778877888,0.30363036303630364,281,87,0.6244444444444445,0.1141732283464567,0.6125633716583252
