stop_name,n_rows,actual_delay_rate,predicted_delay_rate,error_rate,false_positive_count,false_negative_count,false_positive_rate_on_ontime,false_negative_rate_on_delays,mean_predicted_delay_probability
Lausanne-Chauderon,2184,0.5636446886446886,0.8168498168498168,0.46565934065934067,785,232,0.8237145855194123,0.18846466287571081,0.5531584024429321
Romanel-sur-Lausanne,2140,0.538785046728972,0.6490654205607477,0.4121495327102804,559,323,0.5663627152988855,0.28013876843018215,0.5385186076164246
Lausanne,12759,0.4755074849126107,0.4744885962849753,0.34054392977506076,2166,2179,0.3236700537955768,0.3591560903247074,0.47776249051094055
Lausanne-Flon,1081,0.14893617021276595,0.013876040703052728,0.14431082331174838,5,151,0.005434782608695652,0.937888198757764,0.16092681884765625
