train_type,n_rows,actual_delay_rate,predicted_delay_rate,error_rate,false_positive_count,false_negative_count,false_positive_rate_on_ontime,false_negative_rate_on_delays,mean_predicted_delay_probability
SN,75,0.5866666666666667,0.6,0.41333333333333333,16,15,0.5161290322580645,0.3409090909090909,0.5521321296691895
RE,1798,0.6129032258064516,0.9360400444938821,0.3832035595105673,635,54,0.9123563218390804,0.04900181488203267,0.635529100894928
R,10744,0.4939501116902457,0.5662695457930007,0.3703462397617275,2378,1601,0.43737355159095087,0.3016770303372904,0.49218660593032837
EC,145,0.5103448275862069,0.6482758620689655,0.3448275862068966,35,15,0.49295774647887325,0.20270270270270271,0.5323345065116882
S,992,0.6542338709677419,0.8074596774193549,0.34274193548387094,246,94,0.717201166180758,0.1448382126348228,0.6211677193641663
IC,1660,0.34759036144578315,0.1180722891566265,0.34156626506024096,93,474,0.08587257617728532,0.8214904679376083,0.370498389005661
TGV,124,0.5403225806451613,0.6129032258064516,0.29838709677419356,23,14,0.40350877192982454,0.208955223880597,0.48958516120910645
IR,2593,0.29579637485537985,0.09101426918627073,0.26957192441187816,84,615,0.04600219058050383,0.8018252933507171,0.2966281771659851
EXT,33,0.7575757575757576,0.8181818181818182,0.24242424242424243,5,3,0.625,0.12,0.601135790348053
